#,Date,Season,Time,Latitude,Lat,Longitude,Long,Max Winds (kt),SS HWS,RMW nm,Central Prssure (mb),OCI (mb),Size (nm),States Affected,Name
11,9/10/17,2017,1300Z,24.7,24.7N,-81.5,81.5W,115,4,10,931,----,---,"BFL4,CFL1",Irma
11,9/10/17,2017,1930Z,25.9,25.9N,-81.7,81.7W,100,3,15,936,----,---,"BFL4,CFL1",Irma
16,10/8/17,2017,0000Z,29.1,29.1N,-89.2,89.2W,75,1,15,983,----,---,LA1,Nate
16,10/8/17,2017,0520Z,30.4,30.4N,-89,89.0W,65,1,20,984,----,---,MS1,Nate
6,9/14/18,2018,1115Z,34.2,34.2N,-77.8,77.8W,80,1,25,956,----,---,NC1,Florence
14,10/10/18,2018,1730Z,30,30.0N,-85.5,85.5W,140,5,10,919,----,---,"AFL5,I-GA2,AL1",Michael
2,7/13/19,2019,1500Z,29.6,29.6N,-92.2,92.2W,65,1,40,993,----,---,LA1,Barry
5,9/6/19,2019,1230Z,35.2,35.2N,-75.6,75.6W,85,2,20,956,----,---,NC2,Dorian
8,7/25/20,2020,2200Z,26.8,26.8N,-97.3,97.3W,80,1,20,973,----,---,ATX1,Hanna
8,7/25/20,2020,2315Z,26.7,26.7N,-97.5,97.5W,80,1,20,974,----,---,ATX1,Hanna
9,8/4/20,2020,0310Z,33.9,33.9N,-78.5,78.5W,80,1,25,986,----,---,"SC1,NC1",Isaias
13,8/27/20,2020,0600Z,29.8,29.8N,-93.3,93.3W,130,4,15,939,----,---,"LA4,CTX1",Laura
19,9/16/20,2020,0945Z,30.3,30.3N,-87.7,87.7W,95,2,15,965,----,---,"AFL2,AL2",Sally
26,10/9/20,2020,2300Z,29.8,29.8N,-93.1,93.1W,85,2,15,970,----,---,LA2,Delta
28,10/28/20,2020,2100Z,29.2,29.2N,-90.6,90.6W,100,3,20,970,----,---,"LA3, MS2, I-AL1",Zeta
9,8/29/21,2021,1655Z,29.1,29.1N,-90.2,90.2W,130,4,10,931,----,---,LA4,Ida
14,9/29/21,2021,0530Z,28.7,28.7N,-95.7,95.7W,65,1,20,991,----,---,CTX1,Nicholas
9,9/28/22,2022,1905Z,26.7,26.7N,-82.2,82.2W,130,4,20,941,----,---,"BFL4,NC1",Ian
9,9/28/22,2022,0200Z,24.6,24.6N,-82.9,82.9W,110,3,20,952,----,---,BFL3,Ian
9,9/28/22,2022,1905Z,26.7,26.7N,-82.2,82.2W,130,4,20,941,----,---,BFL4,Ian
9,9/28/22,2022,2035Z,26.8,26.8N,-82,82.0W,125,4,20,945,----,---,"BFL4,ICFL1,DFL1",Ian
9,9/30/22,2022,1805Z,33.3,33.3N,-79.2,79.2W,70,1,40,978,----,---,SC1,Ian
9,8/30/23,2023,1145Z,29.9,29.9N,-83.6,83.6W,100,3,10,950,----,---,"AFL3, IGA1",Idalia
