#,Date,Year,Time,Latitude,Longitude,Max Winds (kt),SS HWS,RMW nm,Central Prssure (mb),States Affected,Name,Category,Adjusted Costs,County,State,FIPS code,Annual HPI Change (%),HPI,County & State,PerCapita Income,Year -2,Year -1,Year +1,Year +2,Year +3,Annual HPI Change (%) -1,Annual HPI Change (%) +1,Annual HPI Change (%) +2,Annual HPI Change (%) +3,PerCapita Income -2,PerCapita Income -1,PerCapita Income +1,PerCapita Income +2,PerCapita Income +3,Annual Income Change (%) -1,Annual Income Change (%),Annual Income Change (%) +1,Annual Income Change (%) +2,Annual Income Change (%) +3,National HPI AC Mean,National HPI AC Mean -1,National HPI AC Mean +1,National HPI AC Mean +2,National HPI AC Mean +3,State HPI AC Mean,State HPI AC Mean -1,State HPI AC Mean +1,State HPI AC Mean +2,State HPI AC Mean +3,State Income AC Mean,State Income AC Mean -1,State Income AC Mean +1,State Income AC Mean +2,State Income AC Mean +3
3.0,8/13/04,2004,1945Z,26.6,-82.2,130.0,4.0,5,941,BFL4,Charley,4.0,$26.6B,Lee,FL,12071,16.73,410.13,"Lee, FL",186840.37,2002.0,2003.0,2005.0,2006.0,2007.0,9.54,35.94,16.68,-11.15,149222.78,161570.22,207366.8,238797.81,245466.05,8.274500716311547,15.640351297411115,10.986078650989608,15.157204528400886,2.7924209187680535,6.075588124765126,3.0273209446380176,8.569650769808487,7.014054763690923,3.409300934579439,14.804032258064517,7.033166666666667,25.84709677419355,15.53,-0.9984375,8.75372569212082,5.257604682279623,8.239805656382662,4.906719297554637,3.6627476935470904
3.0,8/13/04,2004,2045Z,26.9,-82.1,125.0,4.0,5,942,"BFL4,CFL1,DFL1",Charley,4.0,$26.6B,Charlotte,FL,12015,19.14,340.87,"Charlotte, FL",45349.51,2002.0,2003.0,2005.0,2006.0,2007.0,10.68,31.8,8.83,-11.74,39701.07,41626.18,47946.51,51335.57,53531.55,4.849012885546915,8.944683369936904,5.726632988978271,7.068418535572239,4.277696731525536,6.075588124765126,3.0273209446380176,8.569650769808487,7.014054763690923,3.409300934579439,14.804032258064517,7.033166666666667,25.84709677419355,15.53,-0.9984375,8.75372569212082,5.257604682279623,8.239805656382662,4.906719297554637,3.6627476935470904
3.0,8/14/04,2004,1400Z,33.0,-79.4,70.0,1.0,20,992,SC1,Charley,4.0,$26.6B,Charleston,SC,45019,9.61,609.35,"Charleston, SC",110472.41,2002.0,2003.0,2005.0,2006.0,2007.0,3.31,18.86,14.91,2.43,97959.62,102675.95,120461.7,130101.62,140205.48,4.814565430123149,7.593267946388621,9.042339168666633,8.002477135886343,7.76612927648404,6.075588124765126,3.0273209446380176,8.569650769808487,7.014054763690923,3.409300934579439,3.640888888888889,2.2427272727272727,6.9702222222222225,7.031555555555556,5.0633333333333335,5.754592679257044,1.4704957288023874,4.676636890204163,6.071421375525517,5.112431343587155
3.0,8/14/04,2004,1600Z,33.8,-78.7,65.0,1.0,20,997,SC1,Charley,4.0,$26.6B,Horry,SC,45051,6.99,343.53,"Horry, SC",58455.08,2002.0,2003.0,2005.0,2006.0,2007.0,2.48,16.33,18.59,5.16,51160.8,54118.91,63790.17,70474.37,75276.31,5.781985426342044,8.012301060756762,9.126820115548549,10.478416972395586,6.813739519771518,6.075588124765126,3.0273209446380176,8.569650769808487,7.014054763690923,3.409300934579439,3.640888888888889,2.2427272727272727,6.9702222222222225,7.031555555555556,5.0633333333333335,5.754592679257044,1.4704957288023874,4.676636890204163,6.071421375525517,5.112431343587155
6.0,9/5/04,2004,0430Z,27.2,-80.2,90.0,2.0,30,960,"CFL2,BFL1",Frances,2.0,$16.3B,Martin,FL,12085,21.66,464.03,"Martin, FL",71158.45,2002.0,2003.0,2005.0,2006.0,2007.0,12.61,29.86,10.37,-9.58,59962.56,63918.33,78008.12,86611.94,89562.31,6.597066569539399,11.327141995105308,9.625940418882085,11.029390273730488,3.406424102727632,6.075588124765126,3.0273209446380176,8.569650769808487,7.014054763690923,3.409300934579439,14.804032258064517,7.033166666666667,25.84709677419355,15.53,-0.9984375,8.75372569212082,5.257604682279623,8.239805656382662,4.906719297554637,3.6627476935470904
9.0,9/16/04,2004,0650Z,30.2,-87.9,105.0,3.0,25,946,"AL3,AFL3",Ivan,3.0,$34.0B,Baldwin,AL,01003,4.95,276.5,"Baldwin, AL",47928.05,2002.0,2003.0,2005.0,2006.0,2007.0,3.48,17.21,17.29,1.77,40856.95,42975.87,52725.21,58801.29,62436.33,5.186192312446244,11.52316404531194,10.009086537007024,11.52405082881605,6.18190519289628,6.075588124765126,3.0273209446380176,8.569650769808487,7.014054763690923,3.409300934579439,3.073114754098361,2.1547540983606557,6.563278688524591,7.427049180327869,5.627903225806452,6.885671223577046,4.732823150960027,5.116032816792619,3.2433050500953624,3.997782755053766
11.0,9/26/04,2004,0400Z,27.2,-80.2,105.0,3.0,45,950,"CFL3,BFL1,AFL1",Jeanne,3.0,$12.4B,Martin,FL,12085,21.66,464.03,"Martin, FL",71158.45,2002.0,2003.0,2005.0,2006.0,2007.0,12.61,29.86,10.37,-9.58,59962.56,63918.33,78008.12,86611.94,89562.31,6.597066569539399,11.327141995105308,9.625940418882085,11.029390273730488,3.406424102727632,6.075588124765126,3.0273209446380176,8.569650769808487,7.014054763690923,3.409300934579439,14.804032258064517,7.033166666666667,25.84709677419355,15.53,-0.9984375,8.75372569212082,5.257604682279623,8.239805656382662,4.906719297554637,3.6627476935470904
4.0,7/10/05,2005,1930Z,30.4,-87.1,105.0,3.0,5,946,"AFL3,IAL1",Dennis,3.0,$4.0B,Santa Rosa,FL,12113,31.58,401.69,"Santa Rosa, FL",44706.09,2003.0,2004.0,2006.0,2007.0,2008.0,13.06,7.61,-5.81,-7.32,37592.62,41316.39,48209.51,51141.97,53374.31,9.905587852083723,8.20425017771397,7.836560969657615,6.082741766095526,4.3649863311874695,8.569650769808487,6.075588124765126,7.014054763690923,3.409300934579439,-0.42653387937453463,25.84709677419355,14.804032258064517,15.53,-0.9984375,-11.530307692307693,8.239805656382662,8.75372569212082,4.906719297554637,3.6627476935470904,2.2231329052069957
12.0,8/25/05,2005,2230Z,26.0,-80.1,70.0,1.0,15,984,"CFL1,BFL1",Katrina,3.0,$200.0B,Broward,FL,12011,29.31,509.36,"Broward, FL",659206.3,2003.0,2004.0,2006.0,2007.0,2008.0,18.53,17.79,-3.87,-20.74,577809.64,614090.0,694318.93,715862.0,702048.06,6.278946817155903,7.346854695565804,5.326500975491284,3.1027628758443826,-1.9296931531496215,8.569650769808487,6.075588124765126,7.014054763690923,3.409300934579439,-0.42653387937453463,25.84709677419355,14.804032258064517,15.53,-0.9984375,-11.530307692307693,8.239805656382662,8.75372569212082,4.906719297554637,3.6627476935470904,2.2231329052069957
12.0,8/29/05,2005,1110Z,29.3,-89.6,110.0,3.0,20,920,LA3,Katrina,3.0,$200.0B,Plaquemines,LA,22075,7.5,186.06,"Plaquemines, LA",8011.84,2003.0,2004.0,2006.0,2007.0,2008.0,4.85,8.8,3.12,0.01,6936.83,7564.64,7660.77,9541.89,10026.35,9.050387568961622,5.911715560819811,-4.381889803091421,24.555234003892544,5.077191206354307,8.569650769808487,6.075588124765126,7.014054763690923,3.409300934579439,-0.42653387937453463,5.567833333333334,4.916333333333333,9.128688524590164,6.084754098360656,2.4455737704918032,7.790879567940848,6.244772286610694,6.629701140179696,8.895357247513699,7.889208843519433
